Date,Price,Open,High,Low,Vol.,Change %
02-Jan-15,"6,547.80","6,566.09","6,607.89","6,510.60",378.93M,-0.28%
05-Jan-15,"6,417.16","6,547.80","6,576.74","6,404.49",750.52M,-2.00%
06-Jan-15,"6,366.51","6,417.16","6,452.66","6,328.59",793.26M,-0.79%
07-Jan-15,"6,419.83","6,366.51","6,459.74","6,366.51",709.50M,0.84%
08-Jan-15,"6,569.96","6,419.83","6,580.82","6,419.83",910.04M,2.34%
09-Jan-15,"6,501.14","6,569.96","6,570.24","6,471.38",761.33M,-1.05%
12-Jan-15,"6,501.42","6,501.14","6,542.43","6,447.91",620.94M,0.00%
13-Jan-15,"6,542.20","6,501.42","6,558.83","6,465.19",694.41M,0.63%
14-Jan-15,"6,388.46","6,542.20","6,542.20","6,353.65",1.00B,-2.35%
15-Jan-15,"6,498.78","6,388.46","6,498.78","6,298.15",1.01B,1.73%
16-Jan-15,"6,550.27","6,498.78","6,553.20","6,443.28",830.66M,0.79%
19-Jan-15,"6,585.53","6,550.27","6,598.89","6,548.00",554.55M,0.54%
20-Jan-15,"6,620.10","6,585.53","6,640.44","6,585.53",697.94M,0.52%
21-Jan-15,"6,728.04","6,620.10","6,728.04","6,620.10",873.75M,1.63%
22-Jan-15,"6,796.63","6,728.04","6,808.18","6,726.24",954.66M,1.02%
23-Jan-15,"6,832.83","6,796.63","6,841.73","6,796.58",863.80M,0.53%
26-Jan-15,"6,852.40","6,832.83","6,855.92","6,790.13",630.84M,0.29%
27-Jan-15,"6,811.61","6,852.40","6,864.97","6,773.54",735.99M,-0.60%
28-Jan-15,"6,825.94","6,811.61","6,863.00","6,777.08",803.72M,0.21%
29-Jan-15,"6,810.60","6,825.94","6,825.94","6,750.22",726.31M,-0.22%
30-Jan-15,"6,749.40","6,810.60","6,843.98","6,749.40",823.48M,-0.90%
02-Feb-15,"6,782.55","6,749.40","6,795.52","6,731.99",780.98M,0.49%
03-Feb-15,"6,871.80","6,782.55","6,886.31","6,782.39",882.17M,1.32%
04-Feb-15,"6,860.02","6,871.80","6,883.49","6,804.10",835.23M,-0.17%
05-Feb-15,"6,865.93","6,860.02","6,870.10","6,808.19",753.81M,0.09%
06-Feb-15,"6,853.44","6,865.93","6,886.22","6,835.48",668.59M,-0.18%
