Date,Price,Open,High,Low,Vol.,Change %
05-Jan-15,"17,408.71","17,325.68","17,540.92","17,219.22",116.46K,-0.24%
06-Jan-15,"16,883.19","17,101.58","17,111.36","16,881.73",166.02K,-3.02%
07-Jan-15,"16,885.33","16,808.26","16,974.61","16,808.26",138.57K,0.01%
08-Jan-15,"17,167.10","17,067.40","17,243.71","17,016.09",140.61K,1.67%
09-Jan-15,"17,197.73","17,318.74","17,342.65","17,129.53",155.22K,0.18%
13-Jan-15,"17,087.71","16,970.88","17,087.71","16,828.27",149.18K,-0.64%
14-Jan-15,"16,795.96","16,961.82","17,036.72","16,770.56",148.51K,-1.71%
15-Jan-15,"17,108.70","16,872.95","17,141.98","16,856.22",147.71K,1.86%
16-Jan-15,"16,864.16","16,812.96","16,864.34","16,592.57",171.10K,-1.43%
19-Jan-15,"17,014.29","17,000.78","17,039.80","16,911.58",127.98K,0.89%
20-Jan-15,"17,366.30","17,071.65","17,366.30","17,066.77",133.03K,2.07%
21-Jan-15,"17,280.48","17,308.72","17,329.03","17,181.55",135.98K,-0.49%
22-Jan-15,"17,329.02","17,306.64","17,355.74","17,229.21",121.91K,0.28%
23-Jan-15,"17,511.75","17,520.63","17,532.06","17,460.76",132.53K,1.05%
26-Jan-15,"17,468.52","17,285.71","17,471.94","17,285.71",111.60K,-0.25%
27-Jan-15,"17,768.30","17,649.40","17,768.41","17,633.47",139.69K,1.72%
28-Jan-15,"17,795.73","17,615.93","17,850.59","17,615.93",141.95K,0.15%
29-Jan-15,"17,606.22","17,666.91","17,778.83","17,575.10",140.04K,-1.06%
30-Jan-15,"17,674.39","17,788.74","17,808.47","17,661.10",173.48K,0.39%
02-Feb-15,"17,558.04","17,536.61","17,628.40","17,459.45",136.04K,-0.66%
03-Feb-15,"17,335.85","17,654.60","17,654.60","17,271.87",169.62K,-1.27%
04-Feb-15,"17,678.74","17,549.30","17,743.11","17,535.04",187.05K,1.98%
05-Feb-15,"17,504.62","17,589.21","17,619.34","17,484.67",184.99K,-0.98%
06-Feb-15,"17,648.50","17,696.18","17,700.67","17,603.07",142.52K,0.82%
09-Feb-15,"17,711.93","17,790.31","17,799.49","17,653.61",129.47K,0.36%
10-Feb-15,"17,652.68","17,662.67","17,673.27","17,550.03",123.93K,-0.33%
12-Feb-15,"17,979.72","17,899.40","18,005.45","17,884.34",181.17K,1.85%
13-Feb-15,"17,913.36","17,892.10","17,962.11","17,864.55",161.99K,-0.37%
16-Feb-15,"18,004.77","18,024.01","18,074.26","17,978.90",152.59K,0.51%
17-Feb-15,"17,987.09","17,949.70","18,009.45","17,901.26",142.05K,-0.10%
18-Feb-15,"18,199.17","18,103.98","18,202.61","18,092.32",171.56K,1.18%
19-Feb-15,"18,264.79","18,237.35","18,322.50","18,237.35",174.12K,0.36%
20-Feb-15,"18,332.30","18,336.50","18,360.92","18,297.67",146.33K,0.37%
23-Feb-15,"18,466.92","18,499.58","18,509.08","18,402.02",157.50K,0.73%
24-Feb-15,"18,603.48","18,468.39","18,603.48","18,427.98",145.16K,0.74%
25-Feb-15,"18,585.20","18,636.34","18,648.77","18,552.81",139.11K,-0.10%
26-Feb-15,"18,785.79","18,587.87","18,790.83","18,587.13",155.54K,1.08%
27-Feb-15,"18,797.94","18,844.28","18,865.39","18,714.64",174.69K,0.06%
02-Mar-15,"18,826.88","18,869.40","18,939.17","18,775.23",134.85K,0.15%
03-Mar-15,"18,815.16","18,910.52","18,910.52","18,730.57",154.82K,-0.06%
04-Mar-15,"18,703.60","18,716.78","18,732.66","18,586.84",143.31K,-0.59%
05-Mar-15,"18,751.84","18,658.16","18,767.50","18,655.36",121.94K,0.26%
06-Mar-15,"18,971.00","18,814.85","18,979.64","18,808.30",147.13K,1.17%
09-Mar-15,"18,790.55","18,872.96","18,878.15","18,733.87",117.98K,-0.95%
10-Mar-15,"18,665.11","18,891.01","18,924.38","18,577.06",148.33K,-0.67%
11-Mar-15,"18,723.52","18,604.87","18,836.93","18,583.52",130.03K,0.31%
12-Mar-15,"18,991.11","18,787.10","19,008.13","18,774.42",149.75K,1.43%
13-Mar-15,"19,254.25","19,119.58","19,335.80","19,042.25",227.77K,1.39%
16-Mar-15,"19,246.06","19,245.38","19,349.20","19,226.71",129.04K,-0.04%
17-Mar-15,"19,437.00","19,425.89","19,479.89","19,373.39",131.78K,0.99%
18-Mar-15,"19,544.48","19,407.76","19,555.72","19,389.24",134.43K,0.55%
19-Mar-15,"19,476.56","19,514.64","19,557.17","19,312.70",151.08K,-0.35%
20-Mar-15,"19,560.22","19,479.71","19,565.44","19,416.63",137.53K,0.43%
23-Mar-15,"19,754.36","19,607.98","19,778.60","19,584.73",124.38K,0.99%
24-Mar-15,"19,713.45","19,718.99","19,770.64","19,646.35",141.95K,-0.21%
25-Mar-15,"19,746.20","19,745.75","19,775.45","19,542.22",144.95K,0.17%
26-Mar-15,"19,471.12","19,605.60","19,623.11","19,397.01",154.80K,-1.39%
27-Mar-15,"19,285.63","19,374.72","19,590.03","19,099.87",178.35K,-0.95%
30-Mar-15,"19,411.40","19,295.21","19,474.07","19,227.29",136.35K,0.65%
31-Mar-15,"19,206.99","19,592.43","19,607.25","19,206.99",151.62K,-1.05%
01-Apr-15,"19,034.84","19,129.75","19,195.23","18,927.95",160.37K,-0.90%
02-Apr-15,"19,312.79","19,141.93","19,433.89","19,115.14",147.09K,1.46%
03-Apr-15,"19,435.08","19,289.04","19,435.08","19,289.04",104.70K,0.63%
06-Apr-15,"19,397.98","19,295.03","19,424.09","19,241.29",96.64K,-0.19%
07-Apr-15,"19,640.54","19,539.03","19,667.48","19,501.31",137.02K,1.25%
08-Apr-15,"19,789.81","19,729.70","19,845.53","19,693.63",140.67K,0.76%
09-Apr-15,"19,937.72","19,851.12","19,957.32","19,822.49",119.98K,0.75%
10-Apr-15,"19,907.63","19,989.55","20,006.00","19,845.31",136.20K,-0.15%
13-Apr-15,"19,905.46","19,967.38","19,975.66","19,825.69",107.00K,-0.01%
14-Apr-15,"19,908.68","19,828.65","19,922.50","19,828.65",111.57K,0.02%
15-Apr-15,"19,869.76","19,838.53","19,913.42","19,823.86",121.59K,-0.20%
16-Apr-15,"19,885.77","19,862.48","19,894.35","19,742.12",174.27K,0.08%
17-Apr-15,"19,652.88","19,810.40","19,815.25","19,638.37",188.23K,-1.17%
20-Apr-15,"19,634.49","19,501.00","19,725.86","19,474.23",144.11K,-0.09%
21-Apr-15,"19,909.09","19,731.57","19,909.09","19,678.22",161.61K,1.40%
22-Apr-15,"20,133.90","19,999.84","20,144.66","19,983.00",204.39K,1.13%
23-Apr-15,"20,187.65","20,227.28","20,252.12","20,116.19",200.95K,0.27%
24-Apr-15,"20,020.04","20,142.47","20,142.47","20,013.74",139.70K,-0.83%
27-Apr-15,"19,983.32","20,063.80","20,069.24","19,909.86",123.50K,-0.18%
28-Apr-15,"20,058.95","20,068.65","20,133.78","20,031.71",138.71K,0.38%
30-Apr-15,"19,520.01","19,847.50","19,852.66","19,502.61",189.06K,-2.69%
01-May-15,"19,531.63","19,510.85","19,549.39","19,399.16",154.06K,0.06%
07-May-15,"19,291.99","19,356.46","19,461.08","19,257.85",165.74K,-1.23%
08-May-15,"19,379.19","19,315.63","19,458.75","19,302.71",181.57K,0.45%
11-May-15,"19,620.91","19,637.58","19,679.63","19,586.81",214.45K,1.25%
12-May-15,"19,624.84","19,608.23","19,626.75","19,467.65",203.46K,0.02%
13-May-15,"19,764.72","19,568.76","19,791.88","19,494.70",193.61K,0.71%
14-May-15,"19,570.24","19,661.52","19,717.80","19,546.82",171.73K,-0.98%
15-May-15,"19,732.92","19,693.17","19,750.76","19,633.75",178.45K,0.83%
18-May-15,"19,890.27","19,766.16","19,890.27","19,741.22",206.81K,0.80%
19-May-15,"20,026.38","19,977.14","20,087.70","19,946.75",184.09K,0.68%
20-May-15,"20,196.56","20,175.59","20,278.89","20,148.51",176.37K,0.85%
21-May-15,"20,202.87","20,215.46","20,320.90","20,175.78",181.81K,0.03%
22-May-15,"20,264.41","20,208.85","20,278.31","20,130.84",141.49K,0.30%
25-May-15,"20,413.77","20,331.92","20,417.77","20,318.54",139.84K,0.74%
26-May-15,"20,437.48","20,431.27","20,473.85","20,378.77",130.82K,0.12%
27-May-15,"20,472.58","20,380.64","20,513.22","20,363.21",184.72K,0.17%
28-May-15,"20,551.46","20,590.28","20,655.33","20,473.27",241.49K,0.39%
29-May-15,"20,563.15","20,510.27","20,636.41","20,508.40",241.11K,0.06%
01-Jun-15,"20,569.87","20,444.54","20,595.41","20,410.27",173.37K,0.03%
02-Jun-15,"20,543.19","20,604.67","20,619.61","20,470.26",200.43K,-0.13%
03-Jun-15,"20,473.51","20,443.15","20,506.35","20,397.73",168.68K,-0.34%
04-Jun-15,"20,488.19","20,539.94","20,552.46","20,438.21",171.68K,0.07%
05-Jun-15,"20,460.90","20,398.76","20,480.25","20,363.18",165.80K,-0.13%
08-Jun-15,"20,457.19","20,537.85","20,544.94","20,359.06",139.80K,-0.02%
09-Jun-15,"20,096.30","20,293.05","20,332.42","20,095.48",160.73K,-1.76%
10-Jun-15,"20,046.36","20,126.36","20,264.92","20,016.32",183.23K,-0.25%
11-Jun-15,"20,382.97","20,183.61","20,382.97","20,178.04",150.38K,1.68%
12-Jun-15,"20,407.08","20,431.78","20,437.26","20,331.19",189.92K,0.12%
15-Jun-15,"20,387.79","20,205.10","20,401.48","20,205.10",115.65K,-0.09%
16-Jun-15,"20,257.94","20,332.83","20,368.21","20,234.16",133.03K,-0.64%
17-Jun-15,"20,219.27","20,306.10","20,323.08","20,126.57",124.16K,-0.19%
18-Jun-15,"19,990.82","20,193.59","20,200.51","19,990.55",134.53K,-1.13%
19-Jun-15,"20,174.24","20,152.41","20,194.45","20,075.91",160.86K,0.92%
22-Jun-15,"20,428.19","20,174.14","20,433.30","20,174.14",140.48K,1.26%
23-Jun-15,"20,809.42","20,547.74","20,809.42","20,531.13",183.33K,1.87%
24-Jun-15,"20,868.03","20,889.32","20,952.71","20,838.22",166.66K,0.28%
25-Jun-15,"20,771.40","20,777.69","20,866.58","20,758.60",128.26K,-0.46%
26-Jun-15,"20,706.15","20,758.43","20,785.76","20,650.00",140.12K,-0.31%
29-Jun-15,"20,109.95","20,305.97","20,361.60","20,093.16",165.29K,-2.88%
30-Jun-15,"20,235.73","20,174.61","20,243.18","20,118.26",168.15K,0.63%
01-Jul-15,"20,329.32","20,291.05","20,346.74","20,225.27",123.57K,0.46%
02-Jul-15,"20,522.50","20,565.94","20,601.73","20,479.85",137.80K,0.95%
03-Jul-15,"20,539.79","20,476.69","20,557.51","20,431.25",145.80K,0.08%
06-Jul-15,"20,112.12","20,200.15","20,310.72","20,012.23",163.68K,-2.08%
07-Jul-15,"20,376.59","20,354.23","20,428.00","20,337.18",139.34K,1.31%
08-Jul-15,"19,737.64","20,282.49","20,310.89","19,737.64",207.58K,-3.14%
09-Jul-15,"19,855.50","19,422.78","19,855.50","19,115.20",252.92K,0.60%
10-Jul-15,"19,779.83","19,829.93","19,978.24","19,720.15",193.03K,-0.38%
13-Jul-15,"20,089.77","19,929.92","20,120.15","19,911.39",139.02K,1.57%
14-Jul-15,"20,385.33","20,355.33","20,435.53","20,322.20",161.76K,1.47%
15-Jul-15,"20,463.33","20,478.85","20,496.60","20,401.09",127.13K,0.38%
16-Jul-15,"20,600.12","20,588.98","20,612.50","20,522.25",136.80K,0.67%
17-Jul-15,"20,650.92","20,646.63","20,658.95","20,611.22",118.13K,0.25%
21-Jul-15,"20,841.97","20,763.31","20,850.00","20,710.34",134.54K,0.93%
22-Jul-15,"20,593.67","20,657.80","20,677.84","20,576.19",145.37K,-1.19%
23-Jul-15,"20,683.95","20,693.57","20,708.23","20,648.76",119.06K,0.44%
24-Jul-15,"20,544.53","20,603.63","20,631.54","20,527.78",110.67K,-0.67%
27-Jul-15,"20,350.10","20,374.05","20,486.93","20,278.73",122.62K,-0.95%
28-Jul-15,"20,328.89","20,188.57","20,423.58","20,070.62",149.80K,-0.10%
